"Estacion","Temperatura","Vel_viento","Temp_max","Temp_min","Precipitacion","Fecha"
802140,25.0555555555556,5.9264,29.8888888888889,19,28.956,2014-06-06
802140,24.3888888888889,7.408,28.2222222222222,17.7777777777778,2.032,2014-06-07
802140,25.4444444444444,6.482,28.3888888888889,17.3888888888889,16.002,2014-06-08
802140,24.8333333333333,5.556,29,18.2777777777778,0,2014-06-09
802140,24.7777777777778,9.4452,28.2222222222222,18,0,2014-06-10
802140,25.4444444444444,9.4452,30.3888888888889,18.5,4.064,2014-06-11
802140,25.7222222222222,8.7044,31,18.2222222222222,0,2014-06-12
802140,26.2222222222222,9.0748,31.6111111111111,18.7777777777778,0,2014-06-13
802140,25.8888888888889,10.0008,30.1111111111111,17.5,2539.746,2014-06-14
802140,25.3888888888889,8.5192,30.7222222222222,18,0,2014-06-15
802140,26.4444444444444,12.038,30.7777777777778,18.7777777777778,0,2014-06-16
802140,25.8333333333333,9.6304,31.6111111111111,17.3888888888889,0,2014-06-17
802140,25.3333333333333,10.0008,30.2222222222222,17,0,2014-06-18
802140,25.2222222222222,7.7784,29.3888888888889,18.2222222222222,0,2014-06-19
802140,25,10.0008,29,15.6111111111111,0,2014-06-20
802140,25.2777777777778,8.1488,30,15.2222222222222,2539.746,2014-06-21
802140,25.0555555555556,7.7784,30.3888888888889,17.3888888888889,0.254,2014-06-22
802140,27.3333333333333,9.4452,30,18,0.508,2014-06-23
802140,25.5,6.8524,31.8888888888889,18.2222222222222,0,2014-06-24
802140,23.1666666666667,7.0376,28.7777777777778,17.5,0,2014-06-25
802140,24.4444444444444,7.408,29.2222222222222,17.3888888888889,4.064,2014-06-26
802140,25.6666666666667,7.7784,30,17,0,2014-06-27
802140,24.3333333333333,7.5932,29.8888888888889,16.6111111111111,21.082,2014-06-28
802140,26.0555555555556,9.0748,30,19,0,2014-06-29
802140,25.8888888888889,9.0748,31.2222222222222,18.2777777777778,0,2014-06-30
802140,25.2777777777778,5.3708,30.3888888888889,17.5,0,2014-07-01
802140,24.4444444444444,7.9636,29.2777777777778,16.7777777777778,17.018,2014-07-02
802140,26.1666666666667,8.5192,30,17.8888888888889,0.254,2014-07-03
802140,25.8888888888889,8.334,30.2777777777778,18,0,2014-07-04
802140,26.6111111111111,9.4452,31,17.3888888888889,0,2014-07-05
802140,26.5555555555556,7.2228,30.8888888888889,18.6111111111111,0,2014-07-06
802140,25.7222222222222,7.408,31,18.6111111111111,0,2014-07-07
802140,25,7.2228,29.7777777777778,17.2222222222222,0.508,2014-07-08
802140,26.2777777777778,8.7044,30,17.7777777777778,0,2014-07-09
802140,26.3333333333333,9.26,31,18.2222222222222,0,2014-07-10
802140,25.2777777777778,9.26,30.7777777777778,17,0,2014-07-11
802140,23.6111111111111,7.2228,29.5,15.7777777777778,0.508,2014-07-12
802140,27.3888888888889,10.3712,32,20,0,2014-07-14
802140,26.6666666666667,10.0008,32.2222222222222,18.7777777777778,0,2014-07-15
802140,26.3888888888889,8.5192,32.1111111111111,19.2222222222222,0,2014-07-16
802140,27,9.0748,32.3888888888889,19,0,2014-07-17
802140,27.8333333333333,10.5564,32.2222222222222,18,0,2014-07-18
802140,27.5555555555556,11.6676,33.7222222222222,19.2222222222222,0,2014-07-19
802140,26,8.8896,33.2777777777778,18.2222222222222,0,2014-07-20
802140,27.7222222222222,9.8156,32,18,0,2014-07-21
802140,28.2777777777778,10.186,33,18.2222222222222,0,2014-07-22
802140,27.7777777777778,9.8156,33.2222222222222,17.7777777777778,0,2014-07-23
802140,28.0555555555556,9.4452,33.7777777777778,19.2222222222222,0,2014-07-24
802140,28.2777777777778,12.4084,34,18.1111111111111,0,2014-07-25
802140,28.5,11.2972,34.2222222222222,20,0,2014-07-26
802140,26.6111111111111,8.7044,34.6111111111111,17,0,2014-07-27
802140,28.5555555555556,9.6304,33.2777777777778,18.2222222222222,0,2014-07-28
802140,27.6111111111111,11.8528,34.2222222222222,16.2222222222222,0,2014-07-29
802140,27.4444444444444,11.6676,34.7222222222222,16.7777777777778,0,2014-07-30
802140,28.3333333333333,11.4824,34,17.7222222222222,0,2014-07-31
802140,28.3333333333333,12.038,34,18.2222222222222,0,2014-08-01
802140,26.5,11.4824,31.3888888888889,17,4.064,2014-08-06
802140,25.4444444444444,6.6672,33.6111111111111,19,0,2014-08-08
802140,26.1111111111111,7.408,29,20,0,2014-08-12
802140,27.1666666666667,11.112,32,17.2222222222222,0,2014-08-13
802140,27.8333333333333,11.112,33,16.2222222222222,3.048,2014-08-14
802140,28.3333333333333,11.112,34.2222222222222,17.2222222222222,0,2014-08-15
802140,28.0555555555556,10.5564,35.6111111111111,19.7222222222222,0,2014-08-16
802140,28.4444444444444,12.5936,33,17.8888888888889,0,2014-08-17
802140,27,12.964,33.2222222222222,19,0,2014-08-18
802140,26.0555555555556,11.4824,33.6111111111111,18.7777777777778,0,2014-08-19
802140,27.1111111111111,12.4084,32.2777777777778,16,0,2014-08-20
802140,28,9.6304,33,16.7777777777778,0,2014-08-21
802140,28.9444444444444,9.4452,35,17,0,2014-08-22
802140,25.1111111111111,7.9636,35.2222222222222,17.7222222222222,0,2014-08-23
802140,27,6.8524,32,18.2222222222222,0,2014-08-24
802140,22.3888888888889,7.408,32.5,18.2222222222222,19.05,2014-08-25
802140,24.6111111111111,7.7784,29,16,68.072,2014-08-26
802140,24.8333333333333,7.7784,30.7222222222222,16.3888888888889,0,2014-08-27
802140,24.3888888888889,6.482,30.6111111111111,16.7777777777778,0,2014-08-28
802140,26,8.8896,31.2222222222222,17,3.048,2014-08-29
802140,28.1666666666667,10.5564,34,17.2222222222222,0,2014-08-30
802140,27.8888888888889,11.6676,34.6111111111111,18,0,2014-08-31
802140,28.6111111111111,10.3712,34.6111111111111,18.5,0,2014-09-01
802140,26.3888888888889,8.7044,33.6111111111111,19,0,2014-09-02
802140,27.2777777777778,8.5192,31,20,0,2014-09-03
802140,26.5555555555556,7.5932,32.6111111111111,19,2539.746,2014-09-04
802140,27.1111111111111,10.5564,32.3888888888889,20,0,2014-09-05
802140,27.2777777777778,7.0376,33.2222222222222,19,0,2014-09-06
802140,25.6666666666667,8.7044,32.6111111111111,16.6111111111111,0,2014-09-07
802140,26.8888888888889,11.4824,31,18.7777777777778,0.254,2014-09-08
802140,28.3333333333333,9.4452,33,20,0,2014-09-09
802140,27.2777777777778,8.7044,34.6111111111111,16.7777777777778,0,2014-09-10
802140,26.5555555555556,6.2968,30,19.2222222222222,1.016,2014-09-11
802140,25.0555555555556,6.2968,31,18.5,21.082,2014-09-12
802140,24.1111111111111,7.2228,30,16.2222222222222,46.99,2014-09-13
802140,25.8333333333333,8.7044,30,19,0,2014-09-14
802140,24.7222222222222,6.8524,30.3888888888889,17.2222222222222,1.016,2014-09-15
802140,26.2222222222222,6.8524,30.2222222222222,18.7777777777778,0,2014-09-16
802140,24.6666666666667,6.2968,31,19,2539.746,2014-09-17
802140,23.2777777777778,7.408,28.7777777777778,17.1111111111111,11.938,2014-09-18
802140,25.3333333333333,6.482,30,18.3888888888889,0,2014-09-19
802140,23.6111111111111,5.1856,30.3888888888889,18.5,0,2014-09-20
802140,23.7777777777778,5.7412,29,17,30.988,2014-09-21
802140,22.9444444444444,5.9264,29,16.2222222222222,14.986,2014-09-22
802140,24.0555555555556,5.7412,28,16,9.906,2014-09-23
802140,25,6.6672,30,16.2222222222222,0,2014-09-24
802140,26.3333333333333,7.7784,30.1111111111111,18.2222222222222,0,2014-09-25
802140,26.3333333333333,7.408,31,17.2222222222222,0.254,2014-09-26
802140,25.6666666666667,5.556,31,20,0,2014-09-27
802140,27.6111111111111,10.5564,32,19,0,2014-09-28
802140,27.6666666666667,8.1488,33,19.3888888888889,0,2014-09-29
802140,28.5555555555556,7.5932,33.2222222222222,16.7777777777778,0,2014-09-30
802140,27.4444444444444,9.0748,33.6111111111111,16.7777777777778,0,2014-10-01
802140,26.0555555555556,6.482,32.2222222222222,17,0,2014-10-02
802140,26.3888888888889,9.26,30,18.5,0,2014-10-03
802140,27.1111111111111,8.334,31,16.7777777777778,0,2014-10-04
802140,26.1111111111111,9.0748,32,17.6111111111111,17.018,2014-10-05
802140,24.5,7.7784,30,16.5,0.508,2014-10-06
802140,26.3888888888889,8.5192,31,17.7777777777778,0,2014-10-07
802140,22.7777777777778,7.5932,31.6111111111111,15.6111111111111,66.04,2014-10-08
802140,20.8888888888889,6.8524,25.5,19.7222222222222,3.048,2014-10-09
802140,21.7222222222222,6.8524,25,19.7222222222222,8.89,2014-10-10
802140,22,4.8152,26,19,2.032,2014-10-11
802140,24.6111111111111,6.1116,29,21,13.97,2014-10-12
802140,25.6666666666667,8.7044,30,21,0,2014-10-13
802140,26.1666666666667,9.26,31,19,0.254,2014-10-14
802140,26.1666666666667,10.7416,31.2777777777778,19.6111111111111,0,2014-10-15
802140,26.6111111111111,8.5192,31,19.7777777777778,0,2014-10-16
802140,27,8.1488,31,19.7777777777778,0,2014-10-17
802140,24.8333333333333,6.2968,31.6111111111111,19.8888888888889,0,2014-10-18
802140,22.4444444444444,5.7412,30.2777777777778,18.5,38.1,2014-10-19
802140,22.1666666666667,6.1116,26,19,10.922,2014-10-20
802140,24.9444444444444,7.408,29,20,0,2014-10-21
802140,24.3333333333333,9.4452,28.7222222222222,21,0,2014-10-22
802140,25.2777777777778,7.7784,30,19.2222222222222,3.048,2014-10-23
802140,24.6111111111111,7.408,30.2777777777778,20,0,2014-10-24
802140,24.0555555555556,8.8896,26.7777777777778,19.3888888888889,5.08,2014-10-25
802140,22.3333333333333,5.3708,26.6111111111111,19.2222222222222,7.874,2014-10-26
802140,23.6666666666667,8.334,27.2222222222222,19,0,2014-10-27
802140,24.3333333333333,7.9636,27.7777777777778,18.5,0,2014-10-28
802140,23.9444444444444,6.482,28.2222222222222,19.3888888888889,0,2014-10-29
802140,24.3888888888889,8.334,28,19.8888888888889,12.954,2014-10-30
802140,24.3333333333333,6.6672,27.3888888888889,19.2222222222222,1.016,2014-10-31
802140,23.7777777777778,7.7784,28.1111111111111,19.1111111111111,0,2014-11-01
802140,23.6111111111111,7.9636,27,19.2777777777778,0,2014-11-02
802140,25.8333333333333,9.4452,29,19,42.926,2014-11-03
802140,25,8.5192,30,19.2222222222222,0,2014-11-04
802140,23.3888888888889,6.6672,28.2222222222222,20.8888888888889,0,2014-11-05
802140,23.2777777777778,6.1116,27.2222222222222,20.5,7.112,2014-11-06
802140,25.6666666666667,9.8156,29.3888888888889,19.2777777777778,3.048,2014-11-07
802140,23.3888888888889,6.6672,29.6111111111111,19.2222222222222,0,2014-11-08
802140,22.8888888888889,7.5932,27,19.3888888888889,59.944,2014-11-09
802140,23.8333333333333,6.6672,27.2222222222222,19.6111111111111,17.018,2014-11-10
802140,22.4444444444444,6.482,27.6111111111111,19.7777777777778,3.048,2014-11-11
802140,21.5555555555556,3.8892,25.2222222222222,19.1111111111111,4.064,2014-11-12
802140,23.0555555555556,8.7044,27,17.8888888888889,6.096,2014-11-13
802140,22.8333333333333,6.8524,27.6111111111111,19,0,2014-11-14
